im looking for a moderately priced restaurant that serves;inform 
im looking for hungarian food in the north of town;inform 
im looking for expensive restaurants that serve mediterranean food;inform 
what is the phone number and post code of the venue;request 
i need a restaurant serving turkish food;inform 
can i get a address;request 
okay can i;null 
oh whats the address;request 
im looking for an expensive restaurant in the east part;inform 
i would like an expensive restaurant that serves korean food;inform 
uh creative food;inform 
expensive italian;inform 
i want the address phone number and area;request 
id like a cheap restaurant in the north part of town;inform 
may i get the phone number and post code;request 
may i get the post code;request 
find me an expensive restaurant;inform 
serving portuguese food;inform 
what kind of food does it;request 
find me a portuguese restaurant;inform 
find me an expensive portuguese restaurant;inform 
i want a moderately priced restaurant in the east part of town;inform 
cheap restaurant serving indian food;inform 
uh what is the;null 
im looking at a cheap restaurant and it should be;inform 
next one please;reqalts 
show me the next;null 
okay please give me the phone number;request 
i need a restaurant in the west part of town that serves european food;inform 
im looking for a moderately priced restaurant serve hungarian food;inform 
wait;null 
can i have a lebanese restaurant;inform 
find irish food;inform 
find gastropub;inform 
find gastro pub type food;inform 
okay start over;restart 
find gastropub restaurant;inform 
yes a moderately priced restaurant;affirm 
looking for a cheap restaurant in the south part of town;inform 
a moderately priced restaurant in the north part of town;inform 
i want an expensive restaurant that serves portuguese food;inform 
music im looking for a moderately priced restaurant in the south part of town please;inform 
okay um thank you good bye;thankyou 
restaurant in the east part of town;inform 
is it portuguese food;confirm 
i dont care about prices;inform 
uh yes im looking for an expensive restaurant and it should be in the east part of town;affirm 
uh yes an expensive restaurant;affirm 
uh doesnt matter expensive;inform 
okay how about an expensive;reqalts 
okay is that an expensive restaurant;confirm 
okay and can i have their phone number;request 
romanian food in the center;inform 
i would like a restaurant that serves thai food;inform 
could you repeat the phone number;request 
moderate european;inform 
hi i want a restaurant;hello 
that serves swiss food;inform 
what about spanish;reqalts 
and whats their;null 
and what area is that;request 
cheap restaurant that serves turkish food;inform 
portugeuse food;inform 
whats the address for moderately priced restaurants in the south part of town;request 
greek food in the north part of town;inform 
may i have the address phone number and price range;request 
may i have the price range;request 
for spanish food;inform 
i want something else;reqalts 
i want another restaurant that serves spanish food;reqalts 
dont want that;deny 
give me something else;reqalts 
give me another spanish restaurant;reqalts 
okay good whats the address and phone number;request 
im looking for a restaurant in the center of town that serves african;inform 
i want a restaurant that serves;inform 
earetree mediterranean food;inform 
what about earatree food;reqalts 
and whats the postal code;null 
looking for a restaurant in the center of town that sells french;inform 
what is the phone number and price range;request 
derately priced;inform 
any kind in the north part of town;inform 
breath price range;request 
breath may i have the phone number please;request 
breath thank you goodbye;thankyou 
im looking for a moderate priced restaurant in the south part of;inform 
i want to know the address;request 
do you have any other restaurant;reqalts 
can i have something else;reqalts 
thank you have a good day;thankyou 
whats the phone whats the phone number;request 
knocking;null 
i need to find a restaurant in the west part of town;inform 
uh whats the price range;request 
and its in the west part of town;inform 
no i need a restaurant in the west part of town;negate 
i want to find a moderate priced restaurant that serves;inform 
i would like a cheap restaurant in the south part of town;inform 
iam looking for a cheap restaurant and it should be in the north part of town;inform 
there any other;reqalts 
could i have another one;reqalts 
could i have the address and phone number of the venue;request 
find me an expensive persian restaurant;inform 
i need an expensive british restaurant;inform 
what ever;inform 
um surprise me;inform 
is there any other ones anything else;reqalts 
uh can i get the post code and phone number;request 
id like a restaurant in any area that serves japanese food;inform 
im looking for a restaurant in the east part of town serving australian;inform 
im looking for a restaurant on the east part of town;inform 
australasian;inform 
how about modern europone;reqalts 
sea food restaurant;inform 
looking for african food in the center of town;inform 
im looking for a restaurant in the west part of town and it should be cheap;inform 
i would like to find a restaurant in the centre;inform 
uh spanish food;inform 
eritrean;inform 
no eritrean food;negate 
what type of food does it;request 
no ah;negate 
er do they serve eritrean food;confirm 
does do you know anyone who serves um;null 
do uh;null 
does anyone serve eritrean food;inform 
uh vietnamese;inform 
noise vietnamese;inform 
alright thank you goodbye;thankyou 
im looking for cross over food;inform 
what is the phone;request 
could i have a restaurant that serves european food;inform 
could i have the address and post code;request 
yes id like hungarian food in the south part of town;affirm 
do you have modern european food;inform 
id like a restaurant in the west part of town;inform 
afghan noise;inform 
i want a european restaurant in the center part of town;inform 
i want to find a cheap restaurant in the north part of town;inform 
may i have the address and type of food;request 
the type of food;request 
im looking for a restaurant in the west;inform 
moderat;inform 
are there any others;reqalts 
looking for vietnamese food;inform 
okay what is the phone number and area of the venue;request 
where is the area;request 
where is the area of the venue;request 
a moderately priced restaurant that serves;inform 
how about asian oriental type of foo;reqalts 
uh moderately priced restaurants in the south part of;inform 
and whats the phone number there;request 
can i get a restaurant in the south part of town that serves cuban food;inform 
i would like an expensive restaurant in the south of town;inform 
where;request 
what is the address and the type of food;request 
can you give me the address please;request 
okay and what kind of food do they serve;request 
is modern european food any good;inform 
what are my other options;reqalts 
im looking for moderately priced restaurant that serves world food;inform 
how about gastropub type of food;reqalts 
what is the address of the;request 
is there a venue in the west part of town;inform 
what restaurants are in the west part of town;reqalts 
how about romanian food;reqalts 
what about a moderately priced restaurant;reqalts 
in the west of town;inform 
what food is in the west part of town;request 
what food is available in this area;request 
may i have a list of venues in the west part of town;inform 
can you change romanian food to something else;deny 
help me decide what venues are available in the west part of town serving any ty;inform 
what is the price range of this venue;request 
may i have the phone number and postcode of this ven;request 
im looking for an expensive restaurant that serves portuguese food;inform 
how about french;reqalts 
restaurant in the north;inform 
restaurant in the north part of town that serves french;inform 
restaurant north;inform 
okay how about french;reqalts 
how about a restaurant in the north part of town that sells french food;reqalts 
im looking for a restaurant in any area serving unintelligible;inform 
can i have the phone number and post code of the venue;request 
can i have a caribbean food;inform 
can i have french food in the center;inform 
can i have an address and phone number;request 
italian restaurant;inform 
im looking for a moderately priced restaurant that serves sea food;inform 
im looking for an expensive restaurant that serves mediteranian;inform 
chinses;inform 
im looking for a modreately;inform 
what about gastropub food;reqalts 
i am looking for;inform 
a restaurant that serves german food;inform 
how about a gastropub;reqalts 
unusual;inform 
bask food;inform 
i want swiss food;inform 
i am looking for a cheap restaurant in the east part of town;inform 
what is the address and type of food they serve;request 
type of food does it serve;request 
i want a cheap restaurant;inform 
it doesnt matter in the south part of town;inform 
im looking for an expensive restaurant that serves korean food;inform 
im sorry i meant creative food;inform 
is there an expensive;inform 
is there one that serves creative;inform 
can i have the phone number and post code plea;request 
im looking for a restaurant in the north part of town serving in;inform 
i want indian food;inform 
find me a moderately priced restaurant in the west part of town;inform 
i would like to find a cheap restaurant;inform 
thank you what is the phone number;request 
im looking for a restaurant that serves mediterranean;inform 
find restaurant in south of town serving international f;inform 
how about the center of town;reqalts 
go back;repeat 
id like to find a moderately priced restaurant in the west part of town;inform 
im looking for a restaurant in the north part of town and it should african food;inform 
can i have the phone number address and price range;request 
what no;negate 
whats the cost;request 
hi im looking for a restaurant in the west part of town that serves baskaye food;hello 
does it serve baskaye food;confirm 
does it serve baskey food;confirm 
serving;null 
can i have a mexican restaurant;inform 
uh what its phone number;request 
id like an expensive restaurant in the east part of town;inform 
are there any other expensive restaurants in the east part of town;reqalts 
thare are different expensive restaurants in the east part of town;inform 
the south part of town greek food;inform 
a cheap restaurant in the north part of town;inform 
type;null 
another please;reqalts 
more;reqmore 
other;reqalts 
cheap restaurant in the north of town;inform 
type of food they serve;request 
i am looking for a cheap restaurant;inform 
and it should be in the west part of town;inform 
could i get the phone number please;request 
im looking for a moderately priced restaurant and it should be in the east part of town;inform 
what type of food is;request 
can i get a restaurant;inform 
can i get a steak house restaurant in any area;inform 
can i get the number;request 
moderate ly;inform 
find me a restaurant in the center of town;inform 
i would like an expensive restaurant in the east part of;inform 
im looking for vietnamese food;inform 
restaurant in the south part of town that serves indian food;inform 
im looking for cheap japanese food;inform 
uh what about italian food;reqalts 
im looking for a restaurant that serves mexican food;inform 
can i have a restaurant in the south part of town;inform 
im looking for a restaurant that serves bistro food in the center of;inform 
um how about thai food;reqalts 
may i get the address and restaurant and;request 
a phone number please;request 
and what is the address please;request 
i want a restaurant in the we;inform 
how about one serving jamaican food;reqalts 
okay how about the west part of town with italian;reqalts 
the west of town with italian food;inform 
im looking for a eritrean restaurant in the center of town;inform 
im looking for a eritrean restaurant;inform 
eirtrean;inform 
how about a portuguese restaurant;reqalts 
im looking for restaurant that serves portuguese food;inform 
i want to find a moderately priced restaurant that serves vietna;inform 
ne vietnamese;inform 
how bout any price range;reqalts 
in the cheap price range;request 
what about the west part of town;reqalts 
do they serve sea food;confirm 
i want sea food;inform 
whats the address and area;request 
im looking for an expensive restaurant that serves sea food;inform 
part of town is it in;request 
uh whats the phone number;request 
uh yes;affirm 
uh id like a cheap restaurant in the;inform 
an expensive restaurant with seafood;inform 
uh looking for a restaurant in any area and that needs to serve;inform 
uh that doesnt matter;inform 
uh can i have the phone number please;request 
id like a cheap restaurant in the east part of town;inform 
id like the address and phone number please;request 
venue;inform 
polynesian food in the south part of town;inform 
i need a restaurant in the north part of town that serves ko;inform 
i want to find a expensive restaurant in the south part of town;inform 
a restaurant in the center;inform 
uh north side of town german food;inform 
i need a moderately priced restaurant that serves caribbean food;inform 
um gastropub food;inform 
what is their address and phone number please;request 
and what is their phone number;request 
im looking for a modertley priced restaurant in the south;inform 
how about italian food in the west of town;reqalts 
welsh food;inform 
what is address and phone number;request 
im looking for hungarian food i dont care about the price;inform 
may i have vietnamese food;inform 
i dont care what price range;inform 
hi looking for a restaurant in the west part of town;hello 
serving international food;inform 
i am looking for sweedish food;inform 
um how about spanish food;reqalts 
um can i get the address;request 
im looking for russian food in the center of town;inform 
any area cuban food;inform 
im looking for an expensive;inform 
i would like to find a restaurant in the south part of town that serves;inform 
thats fine can i get their phone number please;request 
im looking for a restaurant in the west part of town serving korean;inform 
can i have the address and the price range;request 
can i have the price range of the venue;request 
an expensive unintelligible;inform 
what is their area;request 
hi im looking for a rerestaurant that serves cuban food;hello 
okay how about asian oriental;reqalts 
no asian oriental;negate 
okay thank you goodbye;thankyou 
let me get some world food and i dont care about the price range;inform 
moderate priced restaurant that serves spanish food;inform 
may i have the address and phone nymber;request 
breath im looking for a cheap restaurant serving catalan food;inform 
what about asian food;inform 
im looking for asian food;inform 
im looking for asian oriental food;inform 
i want to find a restaurant;inform 
no im looking;negate 
serves cheap;inform 
im looking for a cheap restaurant in west part of town;inform 
can i have the address and the;request 
whats the address again;request 
im looking for an expensive restaurant and it should;inform 
hi im looking for a restaurant in the west part of town;hello 
moderate please;inform 
thank you can i have the phone number;request 
what about italian;reqalts 
breath what is the phone number and post code;request 
im looking for a restaurant in any area that serves japanese;inform 
west part;inform 
okay give me the first;ack 
okay show me the least;ack 
okay address;request 
moderately priced international food;inform 
im looking for a moderately priced restaurant with catalan food;inform 
how about a moderately priced restaurant that serves spani;reqalts 
how about a moderately priced restaurant that serves spanish;reqalts 
is there any other restaurants;reqalts 
cute thank you good bye;bye 
looking for a cheap restaurant in the west part of town;inform 
did you see a korean restaurant;inform 
yes uh turkish food in my area;inform 
expensive restaurant serves;inform 
area train;request 
arotrian;inform 
do you have another option anything else;reqalts 
could have the phone number;request 
im looking for a moderately priced restaurant in the south of town;inform 
you goodbye;bye 
i would like to find a moderately priced restaurant;inform 
i am looking for a restaurant in the south part of town;inform 
what is their address and price range;request 
im looking for an expensive restaurant that serves unintelligible food;inform 
is there a jamaican restaurant;confirm 
what about us;null 
find a moderately priced restaurant that serves bask food;inform 
cant;null 
north part;inform 
is there anything that serves north american;reqalts 
can i have the phone number and post code please;request 
uh yes im looking for an expensive restaurant that serves korean food;affirm 
okay and what area is that;request 
okay and whats their phone number please;request 
in the north part of town that serves;inform 
how about indian type of food;reqalts 
what about indian food in the cheap price range;reqalts 
is that the only one with indian food;reqalts 
a expensive restaurant serving japanese food;inform 
yeah i need um um m;affirm 
is that mexican food;confirm 
is it in the centre of town;confirm 
i need a place in the centre of town that serves mexican food;inform 
how bout asian;reqalts 
i need asian how bout asian food;inform 
what kind of food is that;request 
i need asian food;inform 
in the centre of town;inform 
asian oriental food in the centre;inform 
alright whats its phone number;request 
id like to find a restaurant;inform 
in appleton wiscon;null 
appleton wisconsin;null 
uh restaurant in the west part of town;inform 
serving barbecue food;inform 
restaurant in the west part of town serving barbecue;inform 
expensive price range;request 
breath im looking for a restaurant in the east part of tow;inform 
high priced;inform 
expensive noise;inform 
yea im wondering if theres a steak house restaurant in the north part of;affirm 
uh is there a steak house;inform 
okay is there a chinese restaurant in the north part of town;confirm 
excellent can you give me the phone number please;request 
can you repeat that;repeat 
alright so im very good thanks good bye;bye 
noise im looking for a moderately priced restaurant;inform 
id like a restaurant in south part of town that serves japanese;inform 
what about portugese;reqalts 
im looking for a cheap restaurant and it should be in north part of town;inform 
im looking for a cheap restaurant that serves gastropub food;inform 
find a restaurant serving cuban food;inform 
price does not matter;inform 
what about cuban food;reqalts 
hello darling im looking for a restaurant in the north part of town;hello 
it doesnt matter dear;inform 
african food please;inform 
thatll do dear whats the address of that venue;ack 
and what about the phone number;request 
excellent and what is the price range of that venue;request 
moderately priced french food;inform 
halal food;inform 
address price range;request 
i would like to find a restaurant in the west part of town;inform 
may i get the address and phone please;request 
chinese food please;inform 
i would like to find an expensive restaurant in the south part;inform 
any type of food is okay;inform 
okay thank;thankyou 
id like a international restaurant in the north part of town;inform 
cheap restaurant barbecue food;inform 
a want a cheap restaurant in the north part of town;inform 
im looking for a cheap restaurant serving international food;inform 
i want to find a rest;inform 
a vietnamese;inform 
cheap restaurant serving chinese food;inform 
uh yes im looking for a restaurant in the center that serves lebanese food;affirm 
okay can i get their address;request 
okay thank you very much and good bye;bye 
uh no thank you and good bye;negate 
im looking for a restaurant serving romanian food;inform 
how about thai;reqalts 
oh;null 
a restaurant in any area;inform 
is there anything;reqalts 
i want a different res;reqalts 
give me a different restaurant;reqalts 
looking for a restaurant in the north part of town;inform 
that doesnt matter;inform 
belgian food;inform 
restaurant in the south;inform 
that serves turkish food;inform 
noise yes;affirm 
i wanna find a moderately priced restaurant in the east part of t;inform 
i want an expensive restaurant that serves african food;inform 
it has to serve unusual;inform 
restaurant in any area thats;inform 
id like a cheap italian restaurant;inform 
im looking for an expensive restaurant in the;inform 
yea im looking for an expensive restaurant that serves portuguese;inform 
whats the telephone number;request 
and the price code;request 
i am looking for a cheap restaurant in the west part of town;inform 
can i get a moderately priced restaurant in the north;inform 
breath id like a cheap restaurant in the south part of town;inform 
could i have the phone number and type of food;request 
breath what type of food is it;request 
can i have a cheap restaurant in the west part of town;inform 
im looking for a restaurant in the west part of town serving;inform 
what about indian foods;inform 
and for good luck what is the post code;request 
i want to find a moderately priced restaurant on the east p;inform 
i need a cheap restaurant in the north part of town;inform 
a chinese;inform 
can you give me the address;request 
yes iam looking for a cheap restaurant in the south part of town;affirm 
could i get their address and phone number;request 
cut it thank you good bye;bye 
european food expensive restaurant;inform 
um whats the address and post code;request 
alright thank you thats it;thankyou 
whats the promo code;null 
whats the code;null 
alright thank you good;thankyou 
im looking for expensive restaurants in the east part of town;inform 
im looking for a restaurant in the north part of town that serves euro;inform 
how bout the center part of town;reqalts 
the address phone number and postcode;request 
yes mexican food;affirm 
very good thank you bye bye;thankyou 
hi im looking for;hello 
im looking for an expensive restaurant and it should be in the south part of town;inform 
is it an expensive restaurant;confirm 
looking for a restaurant in the west part of town;inform 
can i get address;request 
im looking for a cheap restaurant in south part of;inform 
and whats their address;request 
i want a moderately priced chinese restaurant;inform 
north part of town turkish food;inform 
city centre;inform 
moderately priced west of town;inform 
im looking for a restaurant in the north part of town serving;inform 
eartrain;inform 
duration;null 
survey;null 
earatrain;inform 
asian food in the north part of town;inform 
asian food;inform 
okay fine what about asian food;reqalts 
kosher for in the central;inform 
hi im looking for cuban food;hello 
i am looking for a modern european food;inform 
im looking for barbecue food;inform 
do you have vietnamese food;inform 
im looking for a restaurant in the center of town that serves danish food;inform 
free;null 
im looking for a restaurant serving venetian food;inform 
im looking for a restaurant serving asian oriental;inform 
noise address and the post code of the venue;request 
im looking for a cheap restaurant that serves jamaican food;inform 
tuscan;inform 
moderately priced restaurant in north part of town;inform 
looking for a restaurant that serves portuguese food;inform 
ok thanks goodbye;thankyou 
um world food;inform 
im looking for a restaurant in the center part of town that serves unusual food;inform 
i would like a cheap restaurant in the west part of town;inform 
what else do you have;reqalts 
im looking for mexican food;inform 
water cherries thank you good bye;thankyou 
breath unusual food;inform 
breath no unusual food;negate 
i want to find an expensive restaurant that serves unusual food;inform 
there korean food;inform 
does it serve korean food;confirm 
i want to find an expensive restaurant that serves korean food;inform 
is there staurant that serves unusual food;inform 
no thank you goodbye;negate 
ringing i need a moderately priced restaurant;inform 
i would like to know the phone number;request 
a cheap restaurant in;inform 
it doesnt matter i need the north part of town;inform 
im looking for a restaurant with irish food;inform 
is there one serving european type food;inform 
im looking for something in the center of town;inform 
any japanese restaurants;inform 
can i have its post code;request 
something in the north part of town serving chinese food;inform 
whats a cheap restaurant in the west;inform 
i want a find a restaurant serving mediterranean food;inform 
im looking for a restaurant in the south part of town that serves christmas food;inform 
peking restaurant;inform 
korean type food;inform 
im looking for a moderately priced restaurant serving spanish food;inform 
noise im looking for a restaurant serving vegetarian food;inform 
im looking for a restaurant serving vegetarian food;inform 
if there is no such venue how about vietnamese type of food;inform 
im loooking for a restaurant serving vietnamese type of food;inform 
im looking for a restaurant that serves turkish food;inform 
i need a restaurant that serves canape;inform 
um no;negate 
ah how bout a turkish type of food;reqalts 
yes and it needs to be moderately priced;affirm 
um doesnt matter;inform 
goodbye thank you;thankyou 
looking for a restaurant in the south part of town with german food;inform 
what about chinese type food;reqalts 
what about chinese type of food;reqalts 
system saying hello welcome;null 
it serves turkish food;inform 
ah im looking for a restaurant in the center serving french food;inform 
do they serve cuban;confirm 
cuban restauran;inform 
no i would like a cuban restaurant;negate 
again i do not care;inform 
a restaurant that serves;inform 
yes serving cuban food;affirm 
breath correct;affirm 
no cuban food cuban food;negate 
a cuban restaurant cuban restaurant;inform 
looking for mediterranean food uh west side of town;inform 
are there mediterranean restaurants in the center of town;inform 
im good;ack 
im looking for a moderately priced restaurant serving world food;inform 
im looking for asian oriental type food;inform 
id like a restaurant in the south part of town;inform 
um then im looking for european food;inform 
any area any price;inform 
i dont care about price range;inform 
im looking for a restaurant in the south part of town serve international food;inform 
no in the south;negate 
portuguese type of food;inform 
is;null 
looking for cuban food that is moderately priced;inform 
im looking for something moderate;inform 
in the south side;inform 
the south side;inform 
can i find a moderately priced restaurant;inform 
can you;null 
laughing hello;hello 
make a suggestion;null 
im looking for a restaurant in the east part of town that serves british food;inform 
expensive restaurant european food;inform 
noise im looking for moderately priced in the north part of cleveland ohio;inform 
i want a restaurant in the west part of town serving australian food;inform 
no australian food;negate 
is that a cheap restaurant;confirm 
british food in the west part of town;inform 
is there a british restaurant in the west of town;confirm 
im looking for a british restaurant;inform 
i am looking for a restaurant in the east part of town;inform 
what about a restaurant serving chinese food;inform 
and would you be able to tell me the phone number;request 
id like to find a restaurant in the west part of town that serves christmas food;inform 
right that serves italian food;affirm 
im looking for a cheap chinese restaurant;inform 
chinese restaurant;inform 
im looking for a restaurant in the north part of town serving international food;inform 
find me italian food;inform 
id like italian food;inform 
uh im looking for a cheap restaurant in the north part of town;inform 
um could i have the address;request 
i need the address;request 
um could you give me the address;request 
and i need the address and post code;request 
um swedish food;inform 
is there a chinese restaurant;confirm 
im searching for a chinese restaurant;inform 
dont care whats the phone number;inform 
yeah im looking for a restaurant serving kosher food;affirm 
no thats good because i want um asian oriental;negate 
oh my god;null 
um asian oriental restaurant;inform 
i know thank you goodbye;thankyou 
looking for a restaurant that serves corsica food in any area;inform 
no corsica food;negate 
id like a expensive restaurant in the south part of town;inform 
uh what type of food;request 
the address please;request 
what about a moderately priced restaurant in the south part of town;reqalts 
i want to find a restaurant moderately priced in the south part of town;inform 
uh yes can i get a cheap restaurant in the west part of town;affirm 
um cheap;inform 
um british;inform 
okay just pick one for me then;ack 
uh just pick a restaurant;inform 
no id like cheap restaurant in the west part of town;negate 
uh i need one in the cheap price range;inform 
uh start over;restart 
uh okay how about the address;request 
and i think thatll do it thank you good bye;thankyou 
im looking for belgian food in the south part of town;inform 
cheap restaurant in th east part of town;inform 
id like to find a restaurant serving crossover food;inform 
no i am looking for a vietnamese restaurant;negate 
what type of food does it have;request 
restaurant that serves korean food;inform 
whats the address phone number and area of the venue;request 
okay thank you bye;thankyou 
im looking for a moderately priced restaurant serving creative food;inform 
what about international;reqalts 
what about international food;reqalts 
the pizza hutt unintelligent;inform 
i would like mexican food;inform 
anything is fine;inform 
very good thank you good bye;bye 
no a cheap restaurant;negate 
i want to find a cheap;inform 
c h e a p cheap;inform 
laugh;null 
ok i want to find a restaurant in the south part of town;inform 
a restaurant in the south part of town;inform 
i want to ind;null 
a cheap restaurant in the south part of town;inform 
north part of town please;inform 
what is their special dish;request 
any any type;inform 
moderately priced in the south part of town;inform 
im looking for a expensive restaurant and it should serve french food;inform 
what the phone number;request 
im looking for a restaurant in the north part of town that serves caribbean food;inform 
im looking for a restaurant in the north part of town that serves asian oriental food;inform 
restaurant with corsica food;inform 
gastro;inform 
ah any;inform 
address phone number and postcode;request 
im looking for an african restaurant;inform 
address and the post code;request 
i want to find a moderately priced restaurant in the west part town;inform 
looking for romanian food in the east part of town;inform 
hi i am looking for restaurant in the west part of town that serves danish food;hello 
is there a restaurant in the west part of town that serves thai food;reqalts 
is a restaurant in the west part of town that serves;inform 
is there a thai restaurant in the west of town;confirm 
in the west;inform 
restaurant in the west part of town;inform 
moderate moderate moderate moderate;inform 
yes moderate priced;affirm 
left;null 
uh yes mexican please;affirm 
okay um whats the price range;request 
uh gastropub;inform 
uh expensive;inform 
im looking for a turkish restaurant in the east part of town;inform 
how about any part of town;reqalts 
how about a turkish restaurant anywhere;reqalts 
another type of food;reqalts 
reset;restart 
indonesian food east part of town;inform 
thank you goodbye noise;thankyou 
halo;hello 
breath i want a cheap restaura;inform 
um breath;null 
im looking for a place that serves mexican food;inform 
i dont;null 
i need to find a restaurant in the west part of town that serves chinese food;inform 
no british food;negate 
give me the address phone number and price range;request 
a restaurant in the south part of town hungarian food;inform 
can i get the price range;request 
chinese food thats moderately priced;inform 
looking for a restaurant in the north part of town and it should serve korean food;inform 
please;null 
yes please can i have the address and the price range of the restaurant please;affirm 
irish food in the south part of town;inform 
i need a restaurant in the north part of town that serves lebanese food;inform 
lebanse;inform 
i need lebanese food;inform 
greek restaurant north of town;inform 
uh what about indian;reqalts 
indian restaurant;inform 
uh low price range;inform 
give me the address and phone number;request 
can you hear me;null 
back;repeat 
the north part;inform 
no im looking for an expensive restaurant in the east part of town;negate 
new garden do you have any other;reqalts 
looking for a moderately priced restaurant that serves british food;inform 
yes that serves british food;affirm 
im looking for a restaurant in any area that serves persian food;inform 
how about a restaurant serving vietnamese food;reqalts 
cheap list;inform 
doesnt matter west part of town;inform 
yea in the west part of town;affirm 
serving christmas food;inform 
i am looking for an expensive restaurant in the south part of town;inform 
any kind in the east part of town;inform 
are there any restaurants serving indian food;reqalts 
thank you and whats the address;request 
can i have a moderately priced restaurant in the south part of town;inform 
is there any other type of food;reqalts 
restaurant there;inform 
a restaurant in the west part of town;inform 
spanish food anywhere any area;inform 
spanish food any area;inform 
spanish food in any area;inform 
an address;request 
im looking for a cheap restaurant serving mediterranean food;inform 
i want to find a restaurant in the west part of town;inform 
what is the price;request 
what are the price ranges available;request 
im looking for a moderately priced restaurant that serves labenese food;inform 
and can i have the post code please;request 
i want cantonese food;inform 
i want to find a restaurant in the center and it should serve vietnamese food;inform 
where is the address and phone number;request 
im looking for a restaurant in the center and it should serve swedish food;inform 
i am looking for a restaurant in the center;inform 
uh that serves catalan food;inform 
italian food in the center;inform 
can i get the phone number and price range;request 
im looking for a restaurant in the east part of town that serves spanish food;inform 
can i have the address phone number and postal code;request 
want a caribbean restaurant thats moderately priced;inform 
what about the other restaurant;inform 
a cheap restaurant serving caribbean food;inform 
vegitarian;inform 
what area are the asian oriental restaurants;request 
and the north;inform 
looking for a restaurant in the north side of town;inform 
how about asian;reqalts 
no asian;negate 
yes can i get an expensive restaurant in the south part of town;affirm 
im looking for cheap polynesian food;inform 
address and food;request 
noise cheap restaurant;inform 
i wanted an expensive restaurant;inform 
in the wouth part of town;request 
tell me the address;request 
please repeat;repeat 
im looking for a restaurant in the center of town that serves russian food;inform 
i need a cheap restaurant serving eritrean food;inform 
im looking for eritrean food;inform 
for;null 
no im looking for a moderately priced restaurant that serves kosher food;negate 
how about one that serves;null 
how about one that serves asian oriental food;reqalts 
can i have the address and the phone number;request 
looking for a restaurant that serves spanish food;inform 
may i have the address and phone number for that venue;request 
no cheap restaurant in the south part of town;negate 
i want a restaurant in the center;inform 
no singaporean;negate 
singaporean;inform 
i want singaporean food;inform 
no italian food;negate 
i want to find a cheap restaurant that serve;inform 
how bout an indian;inform 
indian type food;inform 
kay how about indian food;reqalts 
kay what is the addre;ack 
kay thank you goodbye;thankyou 
moderately priced restaurant in;inform 
aristrain food;inform 
aristrain;null 
can i find something in the south side;inform 
anything cheap;inform 
im looking for a restaurant in the center part of town that serves creative food;inform 
in the center part of town;inform 
looking for a restaurant in the center that sales creative food;inform 
im looking for a restaurant in the center of town that serves mediterranean;inform 
i am looking for a cheap restaurant in the north part of town;inform 
can i have the phone number and the type of food;request 
im looking for a moderately priced resturant in the east part of town;inform 
i would like to find an expensive restaurant that serves japanese food;inform 
the expensive price range;inform 
the expensive;inform 
i would like the address and phone number;request 
im looking for cheap restaurants in the north part of town;inform 
i want a restaurant in the center and it should serve european food;inform 
im looking for a restaurant in the east part of town serving swiss food;inform 
im looking for a restaurant in the east part of town serving chinese food;inform 
address phone number and type of venue;request 
unintelligible hello;hello 
i would like international food please;inform 
i would like to find a restaurant in any area serving international food;inform 
fucking west;inform 
i want to find an expensive restaurant;inform 
is there any thing else;reqalts 
please let me have the address;request 
i need a restaurant in the east part of town that serves canape food;inform 
how about one serving unintelligible food;reqalts 
canape;inform 
how about canape food;reqalts 
how about canape;reqalts 
how about canapes;reqalts 
i want a restaurant in the north part of town that serves moroccan food;inform 
i want a restaurant in the north part of town that serves french food;inform 
s;null 
tape;null 
i cant answer in spanish;inform 
vietnamese vietnamese food;inform 
im looking for an expensive restaurant and it should serve malaysian food;inform 
portuguese food noise;inform 
noise any area;inform 
no gastropub;negate 
im looking for a italian restaurant in east part of town;inform 
music;null 
im looking for a restaurant that serves singaporean food;inform 
how about gastropub type food;reqalts 
chineese;inform 
im looking for a turkish food restaurant;inform 
im done;null 
i would like to find a moderately priced restaurant and it should serve greek food;inform 
how about chinese type of food;reqalts 
yes yea;affirm 
im looking for a hungarian restaurant;inform 
no hungarian;negate 
british feed;inform 
it doesnt matter hungarian food;inform 
no hungarian food;negate 
i am looking for hungarian food;inform 
im looking for traditional food;inform 
yes i am currently in the north part of town and im looking to see if theres any restaurant that serves brazilian food;affirm 
is there any place that serves italian food;inform 
great could you tell me the address and phone number to that place;request 
uh thank you;thankyou 
whats the phone number again;request 
phone number to that;request 
id like a moderately priced restaurant;inform 
in the east part of;inform 
it doesnt matter salad;inform 
looking in the west of town moderately priced;inform 
west part of town moderately priced;inform 
i need a restaurant in any area with swedish food;inform 
im looking for a restaurant that serves gastropub food;inform 
catalan food expensive;inform 
what is the phone number and area;request 
phone number area;request 
oh god uh yes mediterranean food;affirm 
uh mediterranean food;inform 
uh yes that serves mediterranean food;affirm 
uh is there anything else;reqalts 
okay and h can i get the address;request 
okay is there any others;reqalts 
can i have the address of the last one;request 
okay uh can i;ack 
can i get the next one;reqalts 
uh i want the address of the or the address of the mediterranean food part;request 
im looking for a romanian restaurant;inform 
no romanian;negate 
well what about chinese food;inform 
im kind of looking for some french food;inform 
any area is fine with me;inform 
thanks good bye;bye 
im looking for russian food;inform 
restaurant west part of town japanese food;inform 
italian food in the west part of town;inform 
